MarcosGOD: INICIOU EM:  Wed Jan 16 17:22:38 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:22:47 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:23:07 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:30:18 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:32:48 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:35:21 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:35:57 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:39:40 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:48:27 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:50:06 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:51:26 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:52:41 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:53:10 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:55:31 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:57:17 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 17:59:51 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:00:15 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:05:00 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:06:24 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:06:30 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:06:50 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:07:09 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:07:31 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:10:44 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:10:51 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:11:06 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:11:18 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:15:39 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:16:03 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:16:21 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:17:01 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:18:46 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:19:23 2019   NO TRAINER 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:52:26 2019   NO TRAINER, tempo_de_trainer2 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:52:49 2019   NO TRAINER, tempo_de_trainer2 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:53:47 2019   NO TRAINER, tempo_de_trainer2 
MarcosGOD: INICIOU EM:  Wed Jan 16 18:53:55 2019   NO TRAINER , trainer_tempo 1 
Matheus: INICIOU EM:  Wed Jan 16 23:53:45 2019   NO TRAINER , trainer_tempo 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 23:55:39 2019   NO TRAINER, tempo_de_trainer2 
Matheus: INICIOU EM:  Wed Jan 16 23:56:11 2019   NO TRAINER, tempo_de_trainer2 
